#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
1098p487 file0_rs0_skip0 stages0
1132p487 file0_rs0_skip0 stages0
2484p825 file0_rs0_skip0 stages0
2930p570 file0_rs0_skip0 stages0
1013p632 file0_rs0_skip0 stages0
1081p465 file0_rs0_skip0 stages0
1447p647 file0_rs0_skip0 stages0
1057p367 file0_rs0_skip0 stages0
1052p452 file0_rs0_skip0 stages0
2899p645 file0_rs0_skip0 stages0
1051p367 file0_rs0_skip0 stages0
2830p427 file0_rs0_skip0 stages0
0963p565 file0_rs0_skip0 stages0
1129p485 file0_rs0_skip0 stages0
1255p600 file0_rs0_skip0 stages0
0943p785 file0_rs0_skip0 stages2
2899p557 file0_rs0_skip0 stages1
1608p722 file0_rs0_skip0 stages0
1501p662 file0_rs0_skip0 stages0
1110p465 file0_rs0_skip0 stages0
2889p547 file0_rs0_skip0 stages0
1020p485 file0_rs0_skip0 stages0
1050p497 file0_rs0_skip0 stages0
1052p435 file0_rs0_skip0 stages0
1109p500 file0_rs0_skip0 stages0
0925p570 file0_rs0_skip0 stages0
0970p692 file0_rs0_skip0 stages0
1042p330 file0_rs0_skip0 stages1
1011p612 file0_rs0_skip0 stages0
1482p647 file0_rs0_skip0 stages0
2934p572 file0_rs0_skip0 stages0
0984p675 file0_rs0_skip0 stages0
1130p470 file0_rs0_skip0 stages0
2892p597 file0_rs0_skip0 stages1
2835p735 file0_rs0_skip0 stages0
1294p620 file0_rs0_skip0 stages0
1036p355 file0_rs0_skip0 stages1
2770p757 file0_rs0_skip0 stages0
1419p675 file0_rs0_skip0 stages0
1588p740 file0_rs0_skip0 stages0
0994p510 file0_rs0_skip0 stages1
1117p485 file0_rs0_skip0 stages0
0997p472 file0_rs0_skip0 stages0
2904p645 file0_rs0_skip0 stages0
1012p440 file0_rs0_skip0 stages0
0978p530 file0_rs0_skip0 stages1
1116p445 file0_rs0_skip0 stages0
1462p700 file0_rs0_skip0 stages0
0938p590 file0_rs0_skip0 stages0
2303p835 file0_rs0_skip0 stages1
1116p457 file0_rs0_skip0 stages0
1070p442 file0_rs0_skip0 stages0
0942p660 file0_rs0_skip0 stages0
0937p665 file0_rs0_skip0 stages1
2643p812 file0_rs0_skip0 stages0
0951p562 file0_rs0_skip0 stages0
1881p787 file0_rs0_skip0 stages0
1008p485 file0_rs0_skip0 stages0
2540p825 file0_rs0_skip0 stages0
2951p655 file0_rs0_skip0 stages0
1001p477 file0_rs0_skip0 stages0
0959p637 file0_rs0_skip0 stages1
0947p582 file0_rs0_skip0 stages0
0991p462 file0_rs0_skip0 stages0
0924p595 file0_rs0_skip0 stages0
1296p647 file0_rs0_skip0 stages0
1021p405 file0_rs0_skip0 stages0
1034p332 file0_rs0_skip0 stages1
1730p830 file0_rs0_skip0 stages0
0996p487 file0_rs0_skip0 stages0
1004p500 file0_rs0_skip0 stages0
0955p540 file0_rs0_skip0 stages1
2827p742 file0_rs0_skip0 stages0
1015p487 file0_rs0_skip0 stages0
0931p565 file0_rs0_skip0 stages0
1019p367 file0_rs0_skip0 stages1
2940p685 file0_rs0_skip0 stages0
